,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
16400,I1,Genoa,Lazio,0.0,1.0,A,1.75,3.5,4.75,32,32,7.0,6.0,4.0,8.0,4,1,12.0,6.0,1.0,1.0,16,16,9.0,4.0,10.0,4.0
16401,N1,Willem II,Heracles,3.0,0.0,H,1.85,3.8,3.8,22,22,5.0,3.0,5.0,13.0,1,1,7.0,1.0,1.0,1.0,11,12,4.0,6.0,8.0,8.0
16402,I1,Parma,Cesena,1.0,2.0,A,1.62,3.6,6.5,20,20,2.0,6.0,7.0,14.0,0,0,4.0,1.0,0.0,0.0,11,10,2.0,5.0,4.0,2.0
16403,E0,Wigan,Birmingham,1.0,1.0,D,1.9,3.4,3.8,33,33,5.0,2.0,5.0,6.0,1,2,7.0,5.0,1.0,1.0,17,16,3.0,1.0,1.0,7.0
16404,D1,Hansa Rostock,Bielefeld,1.0,1.0,D,1.9,3.4,4.0,22,22,5.0,3.0,4.0,6.0,0,0,7.0,3.0,0.0,0.0,12,11,7.0,2.0,9.0,7.0
16405,N1,AZ Alkmaar,Twente,1.0,0.0,H,2.3,3.4,3.0,32,32,12.0,11.0,4.0,2.0,11,9,13.0,13.0,1.0,1.0,16,16,17.0,6.0,15.0,15.0
16406,F1,Monaco,Lyon,0.0,0.0,D,2.1,3.2,3.8,23,23,4.0,15.0,0.0,0.0,7,7,13.0,15.0,1.0,1.0,12,11,6.0,10.0,11.0,15.0
16407,E0,Man City,Chelsea,0.0,2.0,A,5.0,3.6,1.72,33,33,3.0,14.0,6.0,6.0,0,15,5.0,13.0,0.0,1.0,17,17,4.0,11.0,5.0,13.0
16408,N1,Cambuur,Utrecht,0.0,2.0,A,4.2,3.6,1.83,23,23,2.0,6.0,10.0,7.0,0,0,0.0,6.0,0.0,0.0,12,13,7.0,8.0,4.0,9.0
16409,F1,Brest,Ajaccio,1.0,1.0,D,2.5,3.0,3.0,25,25,4.0,6.0,7.0,3.0,0,5,3.0,9.0,0.0,1.0,12,13,2.0,4.0,0.0,10.0
16410,I1,Milan,Lazio,2.0,1.0,H,1.4,4.0,9.0,23,23,7.0,6.0,4.0,9.0,1,1,7.0,4.0,1.0,1.0,12,11,16.0,5.0,12.0,7.0
16411,SP1,Zaragoza,Villarreal,0.0,1.0,A,2.0,3.2,3.75,31,31,6.0,7.0,4.0,7.0,3,0,8.0,6.0,1.0,0.0,16,16,6.0,3.0,4.0,8.0
16412,N1,Willem II,Feyenoord,3.0,1.0,H,3.75,3.5,1.83,33,33,8.0,11.0,12.0,8.0,0,1,4.0,9.0,0.0,1.0,17,17,8.0,10.0,6.0,10.0
16413,F1,Sochaux,Nice,1.0,0.0,H,2.25,3.0,3.5,26,26,7.0,5.0,8.0,7.0,1,0,6.0,6.0,1.0,0.0,13,14,5.0,7.0,8.0,4.0
16414,D1,Schalke 04,Nurnberg,1.0,0.0,H,1.4,4.5,7.5,18,18,7.0,3.0,1.0,14.0,3,0,12.0,3.0,1.0,0.0,10,10,10.0,3.0,11.0,5.0
